message_id,category,confidence,reason
MSG_0131,meeting_or_event,0.6,Detected signals related to meeting or event: scheduled.
MSG_0132,general_information,0.45,No strong category-specific signal was detected.
MSG_0133,general_information,0.45,No strong category-specific signal was detected.
MSG_0134,general_information,0.45,No strong category-specific signal was detected.
MSG_0135,meeting_or_event,0.57,Detected signals related to meeting or event: catch-up.
MSG_0136,action_required,0.95,Detected signals related to action required: due.
MSG_0137,general_information,0.45,No strong category-specific signal was detected.
MSG_0138,meeting_or_event,0.95,Detected signals related to meeting or event: scheduled.
MSG_0139,general_information,0.95,Detected signals related to general information: update.
MSG_0140,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0141,meeting_or_event,0.95,Detected signals related to meeting or event: event.
MSG_0142,promotional,0.95,Detected signals related to promotional: sale.
MSG_0143,general_information,0.45,No strong category-specific signal was detected.
MSG_0144,action_required,0.57,"Detected signals related to action required: deadline, please."
MSG_0145,action_required,0.55,"Detected signals related to action required: complete, please."
MSG_0146,general_information,0.45,No strong category-specific signal was detected.
MSG_0147,action_required,0.55,Detected signals related to action required: due.
MSG_0148,action_required,0.95,Detected signals related to action required: send.
MSG_0149,meeting_or_event,0.95,Detected signals related to meeting or event: event.
MSG_0150,action_required,0.55,Detected signals related to action required: deadline.
MSG_0151,meeting_or_event,0.55,Detected signals related to meeting or event: scheduled.
MSG_0152,general_information,0.45,No strong category-specific signal was detected.
MSG_0153,general_information,0.45,No strong category-specific signal was detected.
MSG_0154,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0155,general_information,0.95,Detected signals related to general information: fyi.
MSG_0156,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0157,action_required,0.95,Detected signals related to action required: verify.
MSG_0158,general_information,0.45,No strong category-specific signal was detected.
MSG_0159,meeting_or_event,0.95,Detected signals related to meeting or event: webinar.
MSG_0160,action_required,0.95,"Detected signals related to action required: submit, please."
MSG_0161,general_information,0.45,No strong category-specific signal was detected.
MSG_0162,action_required,0.7,Detected signals related to action required: please.
MSG_0163,action_required,0.55,Detected signals related to action required: deadline.
MSG_0164,general_information,0.45,No strong category-specific signal was detected.
MSG_0165,general_information,0.45,No strong category-specific signal was detected.
MSG_0166,general_information,0.45,No strong category-specific signal was detected.
MSG_0167,promotional,0.95,Detected signals related to promotional: discount.
MSG_0168,meeting_or_event,0.89,"Detected signals related to meeting or event: conference, workshop."
MSG_0169,general_information,0.7,Detected signals related to general information: reminder.
MSG_0170,meeting_or_event,0.45,Detected signals related to meeting or event: meeting.
MSG_0171,meeting_or_event,0.62,Detected signals related to meeting or event: interview.
MSG_0172,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0173,action_required,0.95,Detected signals related to action required: review.
MSG_0174,general_information,0.45,No strong category-specific signal was detected.
MSG_0175,action_required,0.95,Detected signals related to action required: review.
MSG_0176,general_information,0.45,No strong category-specific signal was detected.
MSG_0177,general_information,0.95,"Detected signals related to general information: fyi, reminder."
MSG_0178,general_information,0.45,No strong category-specific signal was detected.
MSG_0179,general_information,0.67,Detected signals related to general information: update.
MSG_0180,general_information,0.45,No strong category-specific signal was detected.
MSG_0181,general_information,0.95,Detected signals related to general information: update.
MSG_0182,general_information,0.45,No strong category-specific signal was detected.
MSG_0183,general_information,0.45,No strong category-specific signal was detected.
MSG_0184,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0185,general_information,0.95,Detected signals related to general information: fyi.
MSG_0186,action_required,0.7,Detected signals related to action required: please.
MSG_0187,general_information,0.45,No strong category-specific signal was detected.
MSG_0188,general_information,0.95,Detected signals related to general information: update.
MSG_0189,meeting_or_event,0.62,Detected signals related to meeting or event: meeting.
MSG_0190,meeting_or_event,0.71,Detected signals related to meeting or event: meeting.
MSG_0191,general_information,0.95,Detected signals related to general information: update.
MSG_0192,promotional,0.95,Detected signals related to promotional: offer.
MSG_0193,meeting_or_event,0.75,Detected signals related to meeting or event: call.
MSG_0194,general_information,0.95,Detected signals related to general information: fyi.
MSG_0195,meeting_or_event,0.62,Detected signals related to meeting or event: interview.
MSG_0196,general_information,0.45,No strong category-specific signal was detected.
MSG_0197,meeting_or_event,0.8,Detected signals related to meeting or event: event.
MSG_0198,meeting_or_event,0.71,Detected signals related to meeting or event: meeting.
MSG_0199,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0200,general_information,0.95,Detected signals related to general information: update.
MSG_0201,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0202,promotional,0.95,Detected signals related to promotional: cashback.
MSG_0203,action_required,0.95,Detected signals related to action required: due.
MSG_0204,meeting_or_event,0.55,Detected signals related to meeting or event: dinner.
MSG_0205,general_information,0.45,No strong category-specific signal was detected.
MSG_0206,promotional,0.95,Detected signals related to promotional: coupon.
MSG_0207,general_information,0.95,Detected signals related to general information: fyi.
MSG_0208,action_required,0.67,"Detected signals related to action required: submit, please."
MSG_0209,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0210,general_information,0.45,No strong category-specific signal was detected.
MSG_0211,general_information,0.45,No strong category-specific signal was detected.
MSG_0212,general_information,0.45,No strong category-specific signal was detected.
MSG_0213,general_information,0.6,Detected signals related to general information: fyi.
MSG_0214,general_information,0.45,No strong category-specific signal was detected.
MSG_0215,action_required,0.95,Detected signals related to action required: review.
MSG_0216,meeting_or_event,0.8,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0217,action_required,0.95,"Detected signals related to action required: review, please."
MSG_0218,general_information,0.7,Detected signals related to general information: reminder.
MSG_0219,action_required,0.71,"Detected signals related to action required: send, due."
MSG_0220,meeting_or_event,0.62,Detected signals related to meeting or event: interview.
MSG_0221,general_information,0.95,Detected signals related to general information: fyi.
MSG_0222,meeting_or_event,0.8,Detected signals related to meeting or event: conference.
MSG_0223,action_required,0.7,Detected signals related to action required: please.
MSG_0224,meeting_or_event,0.95,Detected signals related to meeting or event: event.
MSG_0225,action_required,0.7,Detected signals related to action required: please.
MSG_0226,general_information,0.6,Detected signals related to general information: fyi.
MSG_0227,general_information,0.45,No strong category-specific signal was detected.
MSG_0228,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0229,general_information,0.45,No strong category-specific signal was detected.
MSG_0230,general_information,0.45,No strong category-specific signal was detected.
MSG_0231,action_required,0.55,Detected signals related to action required: send.
MSG_0232,general_information,0.45,No strong category-specific signal was detected.
MSG_0233,general_information,0.45,No strong category-specific signal was detected.
MSG_0234,promotional,0.8,Detected signals related to promotional: coupon.
MSG_0235,general_information,0.45,No strong category-specific signal was detected.
MSG_0236,general_information,0.95,Detected signals related to general information: update.
MSG_0237,promotional,0.95,Detected signals related to promotional: sale.
MSG_0238,general_information,0.45,No strong category-specific signal was detected.
MSG_0239,general_information,0.45,No strong category-specific signal was detected.
MSG_0240,general_information,0.45,No strong category-specific signal was detected.
MSG_0241,general_information,0.95,Detected signals related to general information: update.
MSG_0242,general_information,0.95,Detected signals related to general information: fyi.
MSG_0243,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0244,meeting_or_event,0.8,Detected signals related to meeting or event: workshop.
MSG_0245,action_required,0.95,"Detected signals related to action required: complete, please."
MSG_0246,general_information,0.45,No strong category-specific signal was detected.
MSG_0247,general_information,0.45,No strong category-specific signal was detected.
MSG_0248,general_information,0.95,Detected signals related to general information: update.
MSG_0249,meeting_or_event,0.8,Detected signals related to meeting or event: catch-up.
MSG_0250,meeting_or_event,0.95,Detected signals related to meeting or event: dinner.
MSG_0251,action_required,0.55,Detected signals related to action required: deadline.
MSG_0252,general_information,0.95,Detected signals related to general information: update.
MSG_0253,meeting_or_event,0.95,Detected signals related to meeting or event: webinar.
MSG_0254,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0255,action_required,0.7,Detected signals related to action required: please.
MSG_0256,general_information,0.45,No strong category-specific signal was detected.
MSG_0257,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0258,meeting_or_event,0.95,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0259,general_information,0.45,No strong category-specific signal was detected.
MSG_0260,action_required,0.7,Detected signals related to action required: please.
MSG_0261,action_required,0.7,Detected signals related to action required: please.
MSG_0262,general_information,0.45,No strong category-specific signal was detected.
MSG_0263,general_information,0.95,Detected signals related to general information: fyi.
MSG_0264,general_information,0.45,No strong category-specific signal was detected.
MSG_0265,action_required,0.95,"Detected signals related to action required: pay, deadline."
MSG_0266,general_information,0.45,No strong category-specific signal was detected.
MSG_0267,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0268,action_required,0.55,Detected signals related to action required: please.
MSG_0269,action_required,0.95,"Detected signals related to action required: upload, deadline."
MSG_0270,general_information,0.45,No strong category-specific signal was detected.
MSG_0271,action_required,0.95,Detected signals related to action required: review.
MSG_0272,meeting_or_event,0.95,Detected signals related to meeting or event: dinner.
MSG_0273,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0274,general_information,0.45,No strong category-specific signal was detected.
MSG_0275,meeting_or_event,0.55,"Detected signals related to meeting or event: calendar, dinner."
MSG_0276,general_information,0.95,Detected signals related to general information: update.
MSG_0277,general_information,0.95,Detected signals related to general information: update.
MSG_0278,general_information,0.45,No strong category-specific signal was detected.
MSG_0279,action_required,0.7,Detected signals related to action required: please.
MSG_0280,meeting_or_event,0.5,Detected signals related to meeting or event: meeting.
MSG_0281,general_information,0.45,No strong category-specific signal was detected.
MSG_0282,meeting_or_event,0.83,Detected signals related to meeting or event: interview.
MSG_0283,action_required,0.55,Detected signals related to action required: deadline.
MSG_0284,general_information,0.45,No strong category-specific signal was detected.
MSG_0285,general_information,0.45,No strong category-specific signal was detected.
MSG_0286,general_information,0.45,No strong category-specific signal was detected.
MSG_0287,action_required,0.95,"Detected signals related to action required: reply, please."
MSG_0288,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0289,general_information,0.45,No strong category-specific signal was detected.
MSG_0290,general_information,0.45,No strong category-specific signal was detected.
MSG_0291,general_information,0.45,No strong category-specific signal was detected.
MSG_0292,general_information,0.45,No strong category-specific signal was detected.
MSG_0293,action_required,0.55,Detected signals related to action required: review.
MSG_0294,meeting_or_event,0.8,Detected signals related to meeting or event: catch-up.
MSG_0295,general_information,0.45,No strong category-specific signal was detected.
MSG_0296,general_information,0.45,No strong category-specific signal was detected.
MSG_0297,action_required,0.7,Detected signals related to action required: please.
MSG_0298,general_information,0.45,No strong category-specific signal was detected.
MSG_0299,general_information,0.45,No strong category-specific signal was detected.
MSG_0300,general_information,0.95,Detected signals related to general information: update.
MSG_0301,action_required,0.95,"Detected signals related to action required: reply, please."
MSG_0302,meeting_or_event,0.95,Detected signals related to meeting or event: scheduled.
MSG_0303,general_information,0.45,No strong category-specific signal was detected.
MSG_0304,promotional,0.95,Detected signals related to promotional: exclusive.
MSG_0305,action_required,0.7,Detected signals related to action required: please.
MSG_0306,action_required,0.95,"Detected signals related to action required: review, please."
MSG_0307,action_required,0.95,Detected signals related to action required: send.
MSG_0308,general_information,0.95,Detected signals related to general information: update.
MSG_0309,action_required,0.95,Detected signals related to action required: deadline.
MSG_0310,action_required,0.95,Detected signals related to action required: send.
MSG_0311,meeting_or_event,0.8,Detected signals related to meeting or event: conference.
MSG_0312,general_information,0.45,No strong category-specific signal was detected.
MSG_0313,general_information,0.95,Detected signals related to general information: update.
MSG_0314,meeting_or_event,0.62,Detected signals related to meeting or event: interview.
MSG_0315,general_information,0.45,No strong category-specific signal was detected.
MSG_0316,meeting_or_event,0.62,Detected signals related to meeting or event: interview.
MSG_0317,action_required,0.95,Detected signals related to action required: send.
MSG_0318,general_information,0.45,No strong category-specific signal was detected.
MSG_0319,meeting_or_event,0.71,Detected signals related to meeting or event: meeting.
MSG_0320,general_information,0.45,No strong category-specific signal was detected.
MSG_0321,meeting_or_event,0.95,Detected signals related to meeting or event: dinner.
MSG_0322,general_information,0.95,"Detected signals related to general information: fyi, update."
MSG_0323,action_required,0.95,Detected signals related to action required: send.
MSG_0324,general_information,0.45,No strong category-specific signal was detected.
MSG_0325,general_information,0.45,No strong category-specific signal was detected.
MSG_0326,general_information,0.95,Detected signals related to general information: update.
MSG_0327,meeting_or_event,0.95,Detected signals related to meeting or event: seminar.
MSG_0328,general_information,0.45,No strong category-specific signal was detected.
MSG_0329,general_information,0.95,Detected signals related to general information: fyi.
MSG_0330,meeting_or_event,0.8,Detected signals related to meeting or event: workshop.
MSG_0331,action_required,0.95,"Detected signals related to action required: complete, due."
MSG_0332,general_information,0.45,No strong category-specific signal was detected.
MSG_0333,general_information,0.45,No strong category-specific signal was detected.
MSG_0334,action_required,0.7,Detected signals related to action required: please.
MSG_0335,meeting_or_event,0.5,Detected signals related to meeting or event: interview.
MSG_0336,general_information,0.45,No strong category-specific signal was detected.
MSG_0337,general_information,0.45,No strong category-specific signal was detected.
MSG_0338,meeting_or_event,0.95,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0339,action_required,0.75,"Detected signals related to action required: pay, deadline."
MSG_0340,general_information,0.95,Detected signals related to general information: fyi.
MSG_0341,general_information,0.45,No strong category-specific signal was detected.
MSG_0342,meeting_or_event,0.95,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0343,general_information,0.45,No strong category-specific signal was detected.
MSG_0344,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0345,action_required,0.95,"Detected signals related to action required: upload, deadline."
MSG_0346,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0347,general_information,0.45,No strong category-specific signal was detected.
MSG_0348,general_information,0.45,No strong category-specific signal was detected.
MSG_0349,general_information,0.45,No strong category-specific signal was detected.
MSG_0350,general_information,0.45,No strong category-specific signal was detected.
MSG_0351,general_information,0.95,Detected signals related to general information: update.
MSG_0352,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0353,general_information,0.95,Detected signals related to general information: update.
MSG_0354,general_information,0.45,No strong category-specific signal was detected.
MSG_0355,meeting_or_event,0.95,Detected signals related to meeting or event: dinner.
MSG_0356,meeting_or_event,0.73,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0357,meeting_or_event,0.6,Detected signals related to meeting or event: scheduled.
MSG_0358,action_required,0.95,"Detected signals related to action required: send, due."
MSG_0359,meeting_or_event,0.95,Detected signals related to meeting or event: interview.
MSG_0360,action_required,0.95,Detected signals related to action required: verify.
MSG_0361,action_required,0.95,Detected signals related to action required: due.
MSG_0362,promotional,0.95,Detected signals related to promotional: cashback.
MSG_0363,action_required,0.95,Detected signals related to action required: review.
MSG_0364,promotional,0.95,Detected signals related to promotional: cashback.
MSG_0365,action_required,0.95,"Detected signals related to action required: reply, please."
MSG_0366,action_required,0.57,"Detected signals related to action required: reply, please."
MSG_0367,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0368,action_required,0.95,"Detected signals related to action required: deadline, please."
MSG_0369,action_required,0.95,"Detected signals related to action required: submit, please."
MSG_0370,general_information,0.95,Detected signals related to general information: update.
MSG_0371,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0372,meeting_or_event,0.62,Detected signals related to meeting or event: meeting.
MSG_0373,action_required,0.7,Detected signals related to action required: please.
MSG_0374,general_information,0.45,No strong category-specific signal was detected.
MSG_0375,promotional,0.95,Detected signals related to promotional: cashback.
MSG_0376,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0377,meeting_or_event,0.71,Detected signals related to meeting or event: meeting.
MSG_0378,action_required,0.7,Detected signals related to action required: please.
MSG_0379,action_required,0.95,"Detected signals related to action required: submit, please."
MSG_0380,action_required,0.7,Detected signals related to action required: please.
MSG_0381,general_information,0.45,No strong category-specific signal was detected.
MSG_0382,meeting_or_event,0.6,Detected signals related to meeting or event: scheduled.
MSG_0383,meeting_or_event,0.95,Detected signals related to meeting or event: webinar.
MSG_0384,meeting_or_event,0.95,Detected signals related to meeting or event: seminar.
MSG_0385,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0386,general_information,0.6,Detected signals related to general information: fyi.
MSG_0387,general_information,0.45,No strong category-specific signal was detected.
MSG_0388,general_information,0.45,No strong category-specific signal was detected.
MSG_0389,general_information,0.45,No strong category-specific signal was detected.
MSG_0390,general_information,0.45,No strong category-specific signal was detected.
MSG_0391,general_information,0.95,Detected signals related to general information: fyi.
MSG_0392,general_information,0.45,No strong category-specific signal was detected.
MSG_0393,action_required,0.55,Detected signals related to action required: send.
MSG_0394,action_required,0.55,Detected signals related to action required: deadline.
MSG_0395,general_information,0.45,No strong category-specific signal was detected.
MSG_0396,action_required,0.95,"Detected signals related to action required: complete, please."
MSG_0397,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0398,action_required,0.62,"Detected signals related to action required: complete, due."
MSG_0399,general_information,0.45,No strong category-specific signal was detected.
MSG_0400,general_information,0.45,No strong category-specific signal was detected.
MSG_0401,general_information,0.45,No strong category-specific signal was detected.
MSG_0402,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0403,general_information,0.95,Detected signals related to general information: update.
MSG_0404,general_information,0.45,No strong category-specific signal was detected.
MSG_0405,meeting_or_event,0.62,Detected signals related to meeting or event: appointment.
MSG_0406,general_information,0.45,No strong category-specific signal was detected.
MSG_0407,action_required,0.95,Detected signals related to action required: send.
MSG_0408,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0409,promotional,0.6,Detected signals related to promotional: cashback.
MSG_0410,meeting_or_event,0.75,Detected signals related to meeting or event: call.
MSG_0411,action_required,0.7,Detected signals related to action required: please.
MSG_0412,general_information,0.95,Detected signals related to general information: update.
MSG_0413,meeting_or_event,0.71,Detected signals related to meeting or event: interview.
MSG_0414,action_required,0.95,Detected signals related to action required: review.
MSG_0415,general_information,0.45,No strong category-specific signal was detected.
MSG_0416,action_required,0.7,Detected signals related to action required: please.
MSG_0417,action_required,0.95,Detected signals related to action required: verify.
MSG_0418,action_required,0.95,"Detected signals related to action required: reply, please."
MSG_0419,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0420,action_required,0.95,"Detected signals related to action required: complete, due."
MSG_0421,general_information,0.45,No strong category-specific signal was detected.
MSG_0422,action_required,0.6,"Detected signals related to action required: complete, please."
MSG_0423,meeting_or_event,0.8,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0424,general_information,0.7,Detected signals related to general information: reminder.
MSG_0425,action_required,0.95,Detected signals related to action required: review.
MSG_0426,general_information,0.45,No strong category-specific signal was detected.
MSG_0427,action_required,0.55,"Detected signals related to action required: review, please."
MSG_0428,general_information,0.45,No strong category-specific signal was detected.
MSG_0429,general_information,0.95,Detected signals related to general information: fyi.
MSG_0430,meeting_or_event,0.5,Detected signals related to meeting or event: conference.
MSG_0431,meeting_or_event,0.95,Detected signals related to meeting or event: event.
MSG_0432,promotional,0.95,Detected signals related to promotional: offer.
MSG_0433,general_information,0.45,No strong category-specific signal was detected.
MSG_0434,meeting_or_event,0.8,Detected signals related to meeting or event: webinar.
MSG_0435,meeting_or_event,0.71,"Detected signals related to meeting or event: calendar, dinner."
MSG_0436,general_information,0.45,No strong category-specific signal was detected.
MSG_0437,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0438,meeting_or_event,0.75,Detected signals related to meeting or event: call.
MSG_0439,general_information,0.95,Detected signals related to general information: fyi.
MSG_0440,general_information,0.95,Detected signals related to general information: fyi.
MSG_0441,meeting_or_event,0.95,Detected signals related to meeting or event: dinner.
